term,source,definition,langue,auto_definition,definition_finale,valide_auto,definition_finale_corrigée
gestes correctifs,keyword,,fr,"Pour cela, nous avons mis en place un protocole pré-test/post-test dans trois conditions expérimentales : un groupe test qui a reçu des gestes correctifs appropriés aux erreurs réalisées, un groupe test qui a reçu des gestes correctifs inadaptés et un groupe contrôle qui n'a pas reçu de correction multimodale","Gestes correctifs refers to Pour cela, nous avons mis en place un protocole pré-test/post-test dans trois conditions expérimentales : un groupe test qui a reçu des gestes correctifs appropriés aux erreurs réalisées, un groupe test qui a reçu des gestes correctifs inadaptés et un groupe contrôle qui n'a pas reçu de correction multimodale.",oui,"Gestes correctifs refers to Pour cela, nous avons mis en place un protocole pré-test/post-test dans trois conditions expérimentales : un groupe test qui a reçu des gestes correctifs appropriés aux erreurs réalisées, un groupe test qui a reçu des gestes correctifs inadaptés et un groupe contrôle qui n'a pas reçu de correction multimodale."
acquisition de la prononciation en l2,keyword,,fr,Apport du geste dans l'acquisition de la prononciation en l2 : quand la réalité ne correspond pas aux attentes,Acquisition de la prononciation en l2 refers to Apport du geste dans l'acquisition de la prononciation en l2 : quand la réalité ne correspond pas aux attentes.,oui,Acquisition de la prononciation en l2 refers to Apport du geste dans l'acquisition de la prononciation en l2 : quand la réalité ne correspond pas aux attentes.
didactique expérimentale,keyword,,fr,,,non,"Didactique expérimentale est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement."
interlanguage,keyword,,fr,Contrastive analysis of interlanguage prosody of english as an l2: the case of l1-spanish and l1-french learners,Interlanguage refers to Contrastive analysis of interlanguage prosody of english as an l2: the case of l1-spanish and l1-french learners.,oui,Interlanguage refers to Contrastive analysis of interlanguage prosody of english as an l2: the case of l1-spanish and l1-french learners.
prosody,keyword,,fr,Contrastive analysis of interlanguage prosody of english as an l2: the case of l1-spanish and l1-french learners,Prosody refers to Contrastive analysis of interlanguage prosody of english as an l2: the case of l1-spanish and l1-french learners.,oui,Prosody refers to Contrastive analysis of interlanguage prosody of english as an l2: the case of l1-spanish and l1-french learners.
contrastive analysis,keyword,,en,Contrastive analysis of interlanguage prosody of english as an l2: the case of l1-spanish and l1-french learners,Contrastive analysis refers to Contrastive analysis of interlanguage prosody of english as an l2: the case of l1-spanish and l1-french learners.,oui,Contrastive analysis refers to Contrastive analysis of interlanguage prosody of english as an l2: the case of l1-spanish and l1-french learners.
english,keyword,,fr,It focuses on the teaching of english and spanish as a foreign language in the french university system,English refers to It focuses on the teaching of english and spanish as a foreign language in the french university system.,oui,English refers to It focuses on the teaching of english and spanish as a foreign language in the french university system.
french,keyword,,en,It focuses on the teaching of english and spanish as a foreign language in the french university system,French refers to It focuses on the teaching of english and spanish as a foreign language in the french university system.,oui,French refers to It focuses on the teaching of english and spanish as a foreign language in the french university system.
spanish,keyword,,en,It focuses on the teaching of english and spanish as a foreign language in the french university system,Spanish refers to It focuses on the teaching of english and spanish as a foreign language in the french university system.,oui,Spanish refers to It focuses on the teaching of english and spanish as a foreign language in the french university system.
interlangue,keyword,,fr,Prosodie et apprentissage des langues : étude contrastive de l’interlangue d’apprenants d’anglais francophones et hispanophones,Interlangue refers to Prosodie et apprentissage des langues : étude contrastive de l’interlangue d’apprenants d’anglais francophones et hispanophones.,oui,Interlangue refers to Prosodie et apprentissage des langues : étude contrastive de l’interlangue d’apprenants d’anglais francophones et hispanophones.
prosodie,keyword,,fr,Prosodie et apprentissage des langues : étude contrastive de l’interlangue d’apprenants d’anglais francophones et hispanophones,Prosodie refers to Prosodie et apprentissage des langues : étude contrastive de l’interlangue d’apprenants d’anglais francophones et hispanophones.,oui,Prosodie refers to Prosodie et apprentissage des langues : étude contrastive de l’interlangue d’apprenants d’anglais francophones et hispanophones.
analyse contrastive,keyword,,en,La deuxième partie est la mise en œuvre de cette méthodologie par une analyse contrastive de l’interlangue réalisée à travers l’étude d’un corpus oral d’apprenants d’anglais,Analyse contrastive refers to La deuxième partie est la mise en œuvre de cette méthodologie par une analyse contrastive de l’interlangue réalisée à travers l’étude d’un corpus oral d’apprenants d’anglais.,oui,Analyse contrastive refers to La deuxième partie est la mise en œuvre de cette méthodologie par une analyse contrastive de l’interlangue réalisée à travers l’étude d’un corpus oral d’apprenants d’anglais.
anglais,keyword,,fr,"Dans la présente étude, nous exposons les résultats d'une analyse comparative des traductions vers l'anglais et le français de deux contes de l'oeuvre historias de cronopios y de famas de l'écrivain argentin julio cortázar","Anglais refers to Dans la présente étude, nous exposons les résultats d'une analyse comparative des traductions vers l'anglais et le français de deux contes de l'oeuvre historias de cronopios y de famas de l'écrivain argentin julio cortázar.",oui,"Anglais refers to Dans la présente étude, nous exposons les résultats d'une analyse comparative des traductions vers l'anglais et le français de deux contes de l'oeuvre historias de cronopios y de famas de l'écrivain argentin julio cortázar."
français,keyword,,fr,"Dans la présente étude, nous exposons les résultats d'une analyse comparative des traductions vers l'anglais et le français de deux contes de l'oeuvre historias de cronopios y de famas de l'écrivain argentin julio cortázar","Français refers to Dans la présente étude, nous exposons les résultats d'une analyse comparative des traductions vers l'anglais et le français de deux contes de l'oeuvre historias de cronopios y de famas de l'écrivain argentin julio cortázar.",oui,"Français refers to Dans la présente étude, nous exposons les résultats d'une analyse comparative des traductions vers l'anglais et le français de deux contes de l'oeuvre historias de cronopios y de famas de l'écrivain argentin julio cortázar."
espagnol,keyword,,fr,Cette thèse est une étude de l’interlangue prosodique des apprenants d’anglais dont la langue maternelle est le français ou l’espagnol,Espagnol refers to Cette thèse est une étude de l’interlangue prosodique des apprenants d’anglais dont la langue maternelle est le français ou l’espagnol.,oui,Espagnol refers to Cette thèse est une étude de l’interlangue prosodique des apprenants d’anglais dont la langue maternelle est le français ou l’espagnol.
african languages and linguistics,keyword,,en,,,non,"African languages and linguistics is a concept used in the fields of linguistics, translation, or education."
phonetics phonology interface,keyword,,en,,,non,"Phonetics phonology interface is a concept used in the fields of linguistics, translation, or education."
vowel harmony,keyword,,fr,"Bondu so (dogon, mali) displays [atr] vowel harmony that interacts with root-final consonants","Vowel harmony refers to Bondu so (dogon, mali) displays [atr] vowel harmony that interacts with root-final consonants.",oui,"Vowel harmony refers to Bondu so (dogon, mali) displays [atr] vowel harmony that interacts with root-final consonants."
dogon languages,keyword,,fr,,,non,"Dogon languages est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement."
prosodie de l'anglais,keyword,,fr,,,non,"Prosodie de l'anglais est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement."
apprentissage des langues,keyword,,fr,Prosodie et apprentissage des langues : étude contrastive de l’interlangue d’apprenants d’anglais francophones et hispanophones,Apprentissage des langues refers to Prosodie et apprentissage des langues : étude contrastive de l’interlangue d’apprenants d’anglais francophones et hispanophones.,oui,Apprentissage des langues refers to Prosodie et apprentissage des langues : étude contrastive de l’interlangue d’apprenants d’anglais francophones et hispanophones.
phonétique contrastive,keyword,,fr,,,non,"Phonétique contrastive est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement."
interjection,keyword,,en,The use of interjections as a discourse phenomenon,Interjection refers to The use of interjections as a discourse phenomenon.,oui,Interjection refers to The use of interjections as a discourse phenomenon.
reported speech,keyword,,en,"First, interjections are shown to be associated with a quotative function: they help signal instances of reported speech","Reported speech refers to First, interjections are shown to be associated with a quotative function: they help signal instances of reported speech.",oui,"Reported speech refers to First, interjections are shown to be associated with a quotative function: they help signal instances of reported speech."
narrative discourse,keyword,,fr,,,non,"Narrative discourse est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement."
mande,keyword,,fr,This study describes and compares two conventionalized uses of interjections in traditional narratives in chuvash (turkic) and wan (mande),Mande refers to This study describes and compares two conventionalized uses of interjections in traditional narratives in chuvash (turkic) and wan (mande).,non,Mande refers to This study describes and compares two conventionalized uses of interjections in traditional narratives in chuvash (turkic) and wan (mande).
turkic,keyword,,fr,This study describes and compares two conventionalized uses of interjections in traditional narratives in chuvash (turkic) and wan (mande),Turkic refers to This study describes and compares two conventionalized uses of interjections in traditional narratives in chuvash (turkic) and wan (mande).,oui,Turkic refers to This study describes and compares two conventionalized uses of interjections in traditional narratives in chuvash (turkic) and wan (mande).
interjection reported speech narrative discourse mande turkic,keyword,,en,,,non,"Interjection reported speech narrative discourse mande turkic is a concept used in the fields of linguistics, translation, or education."
voicing,keyword,,fr,"We compare these results with our previous analysis of voicing for non-morphemic /s/ and /z/ by the same speakers, and we discuss our findings in relation to the markedness of these two sounds","Voicing refers to We compare these results with our previous analysis of voicing for non-morphemic /s/ and /z/ by the same speakers, and we discuss our findings in relation to the markedness of these two sounds.",oui,"Voicing refers to We compare these results with our previous analysis of voicing for non-morphemic /s/ and /z/ by the same speakers, and we discuss our findings in relation to the markedness of these two sounds."
periodicity,keyword,,fr,"We have analyzed data from the ipce-ipac corpus of learner oral productions, by measuring periodicity for all learner realizations of morphemic -s","Periodicity refers to We have analyzed data from the ipce-ipac corpus of learner oral productions, by measuring periodicity for all learner realizations of morphemic -s.",oui,"Periodicity refers to We have analyzed data from the ipce-ipac corpus of learner oral productions, by measuring periodicity for all learner realizations of morphemic -s."
assimilation,keyword,,fr,"Voice assimilation of morphemic -s in the l2 english of l1 french, l1 italian and l1 spanish learners","Assimilation refers to Voice assimilation of morphemic -s in the l2 english of l1 french, l1 italian and l1 spanish learners.",oui,"Assimilation refers to Voice assimilation of morphemic -s in the l2 english of l1 french, l1 italian and l1 spanish learners."
pronunciation,keyword,,fr,Can l2 pronunciation be evaluated without reference to a native model,Pronunciation refers to Can l2 pronunciation be evaluated without reference to a native model.,oui,Pronunciation refers to Can l2 pronunciation be evaluated without reference to a native model.
l2 acquisition,keyword,,fr,,,non,"L2 acquisition est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement."
voisement,keyword,,fr,Cette étude examine la règle d'assimilation progressive de voisement du -s morphémique final en anglais l2,Voisement refers to Cette étude examine la règle d'assimilation progressive de voisement du -s morphémique final en anglais l2.,oui,Voisement refers to Cette étude examine la règle d'assimilation progressive de voisement du -s morphémique final en anglais l2.
périodicité,keyword,,fr,"Nous avons analysé les données du corpus ipce-ipac de productions orales d'apprenants en mesurant la périodicité de toutes les réalisations du -s morphémique et nous avons comparé trois groupes de locuteurs : 15 francophones natifs, 15 italophones natifs et 10 hispanophones natifs","Périodicité refers to Nous avons analysé les données du corpus ipce-ipac de productions orales d'apprenants en mesurant la périodicité de toutes les réalisations du -s morphémique et nous avons comparé trois groupes de locuteurs : 15 francophones natifs, 15 italophones natifs et 10 hispanophones natifs.",oui,"Périodicité refers to Nous avons analysé les données du corpus ipce-ipac de productions orales d'apprenants en mesurant la périodicité de toutes les réalisations du -s morphémique et nous avons comparé trois groupes de locuteurs : 15 francophones natifs, 15 italophones natifs et 10 hispanophones natifs."
prononciation,keyword,,fr,Le regard de l'apprenant sur l'apprentissage de la prononciation,Prononciation refers to Le regard de l'apprenant sur l'apprentissage de la prononciation.,oui,Prononciation refers to Le regard de l'apprenant sur l'apprentissage de la prononciation.
acquisition l2,keyword,,fr,,,non,"Acquisition l2 est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement."
clle-erss-cognition,keyword,,fr,,,non,"Clle-erss-cognition est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement."
langue,keyword,,fr,"Par ailleurs, nous cherchons à identifier les différentes stratégies adoptées par les traducteurs de chaque langue pour transmettre les éléments du non-sens propres à ces contes","Langue refers to Par ailleurs, nous cherchons à identifier les différentes stratégies adoptées par les traducteurs de chaque langue pour transmettre les éléments du non-sens propres à ces contes.",oui,"Langue refers to Par ailleurs, nous cherchons à identifier les différentes stratégies adoptées par les traducteurs de chaque langue pour transmettre les éléments du non-sens propres à ces contes."
langage,keyword,,fr,"Interpréter, transcrire et annoter des données de langage oral","Langage refers to Interpréter, transcrire et annoter des données de langage oral.",oui,"Langage refers to Interpréter, transcrire et annoter des données de langage oral."
ergonomie lidile-linguistique,keyword,,fr,,,non,"Ergonomie lidile-linguistique est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement."
ingéniérie,keyword,,fr,,,non,"Ingéniérie est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement."
didactique des langues,keyword,,fr,,,non,"Didactique des langues est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement."
rhythmic priming speech production prosody parkinson's disease,keyword,,en,,,non,"Rhythmic priming speech production prosody parkinson's disease is a concept used in the fields of linguistics, translation, or education."
rhythmic priming,keyword,,fr,A bimodal approach to study the effects of rhythmic priming,Rhythmic priming refers to A bimodal approach to study the effects of rhythmic priming.,oui,Rhythmic priming refers to A bimodal approach to study the effects of rhythmic priming.
speech production,keyword,,en,Does listening to non-linguistic rhythm impact speech production?,Speech production refers to Does listening to non-linguistic rhythm impact speech production?.,oui,Speech production refers to Does listening to non-linguistic rhythm impact speech production?.
parkinson's disease,keyword,,en,Rhythmic stimuli presented to speakers before elocution-on the speech rhythm of people with parkinson's disease,Parkinson's disease refers to Rhythmic stimuli presented to speakers before elocution-on the speech rhythm of people with parkinson's disease.,oui,Parkinson's disease refers to Rhythmic stimuli presented to speakers before elocution-on the speech rhythm of people with parkinson's disease.
amorçage rythmique,keyword,,fr,Impact de l’amorçage rythmique sur la production de la parole chez des personnes atteintes de la maladie de parkinson : étude pilote,Amorçage rythmique refers to Impact de l’amorçage rythmique sur la production de la parole chez des personnes atteintes de la maladie de parkinson : étude pilote.,oui,Amorçage rythmique refers to Impact de l’amorçage rythmique sur la production de la parole chez des personnes atteintes de la maladie de parkinson : étude pilote.
production de la parole,keyword,,fr,Impact de l’amorçage rythmique sur la production de la parole chez des personnes atteintes de la maladie de parkinson : étude pilote,Production de la parole refers to Impact de l’amorçage rythmique sur la production de la parole chez des personnes atteintes de la maladie de parkinson : étude pilote.,oui,Production de la parole refers to Impact de l’amorçage rythmique sur la production de la parole chez des personnes atteintes de la maladie de parkinson : étude pilote.
maladie de parkinson,keyword,,fr,Impact de l’amorçage rythmique sur la production de la parole chez des personnes atteintes de la maladie de parkinson : étude pilote,Maladie de parkinson refers to Impact de l’amorçage rythmique sur la production de la parole chez des personnes atteintes de la maladie de parkinson : étude pilote.,oui,Maladie de parkinson refers to Impact de l’amorçage rythmique sur la production de la parole chez des personnes atteintes de la maladie de parkinson : étude pilote.
speech rhythm speech production rhythmic priming prosody parkinson's disease,keyword,,en,,,non,"Speech rhythm speech production rhythmic priming prosody parkinson's disease is a concept used in the fields of linguistics, translation, or education."
speech rhythm,keyword,,fr,"Different aspects such as speech rhythm metrics based on vowel and consonant duration, prominence and reading latency were analyzed","Speech rhythm refers to Different aspects such as speech rhythm metrics based on vowel and consonant duration, prominence and reading latency were analyzed.",oui,"Speech rhythm refers to Different aspects such as speech rhythm metrics based on vowel and consonant duration, prominence and reading latency were analyzed."
sibilants,keyword,,fr,"Additionally, if taken together, the results of this and our previous study reveal differences in the voicing of morphemic vs non-morphemic realizations for sibilants in l2 english (similar to l1 english)","Sibilants refers to Additionally, if taken together, the results of this and our previous study reveal differences in the voicing of morphemic vs non-morphemic realizations for sibilants in l2 english (similar to l1 english).",oui,"Sibilants refers to Additionally, if taken together, the results of this and our previous study reveal differences in the voicing of morphemic vs non-morphemic realizations for sibilants in l2 english (similar to l1 english)."
phonétique,keyword,,fr,Cette partie débouche sur un cadre méthodologique pour l’analyse phonétique et pour l’interprétation phonologique de ce type de systèmes prosodiques,Phonétique refers to Cette partie débouche sur un cadre méthodologique pour l’analyse phonétique et pour l’interprétation phonologique de ce type de systèmes prosodiques.,oui,Phonétique refers to Cette partie débouche sur un cadre méthodologique pour l’analyse phonétique et pour l’interprétation phonologique de ce type de systèmes prosodiques.
didactique,keyword,,fr,Les résultats servent de base pour une réflexion sur les niveaux d’abstraction de l’étude de la prosodie et sur les priorités didactiques pour l’enseignement de l’anglais oral au niveau universitaire,Didactique refers to Les résultats servent de base pour une réflexion sur les niveaux d’abstraction de l’étude de la prosodie et sur les priorités didactiques pour l’enseignement de l’anglais oral au niveau universitaire.,oui,Didactique refers to Les résultats servent de base pour une réflexion sur les niveaux d’abstraction de l’étude de la prosodie et sur les priorités didactiques pour l’enseignement de l’anglais oral au niveau universitaire.
facteurs affectifs,keyword,,fr,,,non,"Facteurs affectifs est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement."
langues,keyword,,fr,Prosodie et apprentissage des langues : étude contrastive de l’interlangue d’apprenants d’anglais francophones et hispanophones,Langues refers to Prosodie et apprentissage des langues : étude contrastive de l’interlangue d’apprenants d’anglais francophones et hispanophones.,oui,Langues refers to Prosodie et apprentissage des langues : étude contrastive de l’interlangue d’apprenants d’anglais francophones et hispanophones.
prosodie du français,keyword,,fr,,,non,"Prosodie du français est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement."
analyse du langage,keyword,,fr,,,non,"Analyse du langage est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement."
second language teaching,keyword,,en,,,non,"Second language teaching is a concept used in the fields of linguistics, translation, or education."
satisfaction,keyword,,fr,"The term pleasure is studied as students’ satisfaction regarding the teaching and the strategies planned by the teacher, and not their academic success.our initial hypothesis is that an in-depth preparation of activities and teaching and didactic resources, in accordance with the stages of learning, helps to promote pleasure in students, regardless of the language or content of the class.this paper is organized in three parts","Satisfaction refers to The term pleasure is studied as students’ satisfaction regarding the teaching and the strategies planned by the teacher, and not their academic success.our initial hypothesis is that an in-depth preparation of activities and teaching and didactic resources, in accordance with the stages of learning, helps to promote pleasure in students, regardless of the language or content of the class.this paper is organized in three parts.",oui,"Satisfaction refers to The term pleasure is studied as students’ satisfaction regarding the teaching and the strategies planned by the teacher, and not their academic success.our initial hypothesis is that an in-depth preparation of activities and teaching and didactic resources, in accordance with the stages of learning, helps to promote pleasure in students, regardless of the language or content of the class.this paper is organized in three parts."
motivation/expectancy,keyword,,en,"Based on a common planning that takes into account the teaching-learning stages (motivation/expectancy, comprehension/attention, generalization/transfer), we carry out a classroom research to corroborate our hypothesis","Motivation/expectancy refers to Based on a common planning that takes into account the teaching-learning stages (motivation/expectancy, comprehension/attention, generalization/transfer), we carry out a classroom research to corroborate our hypothesis.",oui,"Motivation/expectancy refers to Based on a common planning that takes into account the teaching-learning stages (motivation/expectancy, comprehension/attention, generalization/transfer), we carry out a classroom research to corroborate our hypothesis."
generalization/transfer,keyword,,fr,"Based on a common planning that takes into account the teaching-learning stages (motivation/expectancy, comprehension/attention, generalization/transfer), we carry out a classroom research to corroborate our hypothesis","Generalization/transfer refers to Based on a common planning that takes into account the teaching-learning stages (motivation/expectancy, comprehension/attention, generalization/transfer), we carry out a classroom research to corroborate our hypothesis.",oui,"Generalization/transfer refers to Based on a common planning that takes into account the teaching-learning stages (motivation/expectancy, comprehension/attention, generalization/transfer), we carry out a classroom research to corroborate our hypothesis."
comprehension/attention,keyword,,fr,"Based on a common planning that takes into account the teaching-learning stages (motivation/expectancy, comprehension/attention, generalization/transfer), we carry out a classroom research to corroborate our hypothesis","Comprehension/attention refers to Based on a common planning that takes into account the teaching-learning stages (motivation/expectancy, comprehension/attention, generalization/transfer), we carry out a classroom research to corroborate our hypothesis.",oui,"Comprehension/attention refers to Based on a common planning that takes into account the teaching-learning stages (motivation/expectancy, comprehension/attention, generalization/transfer), we carry out a classroom research to corroborate our hypothesis."
motivación/expectativa,keyword,,es,"A partir de una planificación común que toma en cuenta las fases de enseñanza-aprendizaje (motivación/expectativa, comprensión/atención, generalización/transferencia), llevamos a cabo una investigación de aula para corroborar nuestra hipótesis","Motivación/expectativa refers to A partir de una planificación común que toma en cuenta las fases de enseñanza-aprendizaje (motivación/expectativa, comprensión/atención, generalización/transferencia), llevamos a cabo una investigación de aula para corroborar nuestra hipótesis.",oui,"Motivación/expectativa refers to A partir de una planificación común que toma en cuenta las fases de enseñanza-aprendizaje (motivación/expectativa, comprensión/atención, generalización/transferencia), llevamos a cabo una investigación de aula para corroborar nuestra hipótesis."
generalización/transferencia,keyword,,es,"A partir de una planificación común que toma en cuenta las fases de enseñanza-aprendizaje (motivación/expectativa, comprensión/atención, generalización/transferencia), llevamos a cabo una investigación de aula para corroborar nuestra hipótesis","Generalización/transferencia refers to A partir de una planificación común que toma en cuenta las fases de enseñanza-aprendizaje (motivación/expectativa, comprensión/atención, generalización/transferencia), llevamos a cabo una investigación de aula para corroborar nuestra hipótesis.",oui,"Generalización/transferencia refers to A partir de una planificación común que toma en cuenta las fases de enseñanza-aprendizaje (motivación/expectativa, comprensión/atención, generalización/transferencia), llevamos a cabo una investigación de aula para corroborar nuestra hipótesis."
estrategias didácticas,keyword,,fr,,,non,"Estrategias didácticas est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement."
comprensión/atención,keyword,,es,"A partir de una planificación común que toma en cuenta las fases de enseñanza-aprendizaje (motivación/expectativa, comprensión/atención, generalización/transferencia), llevamos a cabo una investigación de aula para corroborar nuestra hipótesis","Comprensión/atención refers to A partir de una planificación común que toma en cuenta las fases de enseñanza-aprendizaje (motivación/expectativa, comprensión/atención, generalización/transferencia), llevamos a cabo una investigación de aula para corroborar nuestra hipótesis.",oui,"Comprensión/atención refers to A partir de una planificación común que toma en cuenta las fases de enseñanza-aprendizaje (motivación/expectativa, comprensión/atención, generalización/transferencia), llevamos a cabo una investigación de aula para corroborar nuestra hipótesis."
planificación,keyword,,es,"A partir de una planificación común que toma en cuenta las fases de enseñanza-aprendizaje (motivación/expectativa, comprensión/atención, generalización/transferencia), llevamos a cabo una investigación de aula para corroborar nuestra hipótesis","Planificación refers to A partir de una planificación común que toma en cuenta las fases de enseñanza-aprendizaje (motivación/expectativa, comprensión/atención, generalización/transferencia), llevamos a cabo una investigación de aula para corroborar nuestra hipótesis.",oui,"Planificación refers to A partir de una planificación común que toma en cuenta las fases de enseñanza-aprendizaje (motivación/expectativa, comprensión/atención, generalización/transferencia), llevamos a cabo una investigación de aula para corroborar nuestra hipótesis."
placer,keyword,,es,"À travers la mise en place d’un questionnaire, nous essayons de nous placer du point de vue des apprenants pour définir l’image qu’ils ont de leur prononciation ainsi que les croyances et stéréotypes qu’ils ont autour des difficultés de son acquisition, notamment en relation avec d’autres compétences linguistiques.","Placer refers to À travers la mise en place d’un questionnaire, nous essayons de nous placer du point de vue des apprenants pour définir l’image qu’ils ont de leur prononciation ainsi que les croyances et stéréotypes qu’ils ont autour des difficultés de son acquisition, notamment en relation avec d’autres compétences linguistiques.",oui,"Placer refers to À travers la mise en place d’un questionnaire, nous essayons de nous placer du point de vue des apprenants pour définir l’image qu’ils ont de leur prononciation ainsi que les croyances et stéréotypes qu’ils ont autour des difficultés de son acquisition, notamment en relation avec d’autres compétences linguistiques."
satisfacción,keyword,,es,"El término de placer no está relacionado con el rendimiento académico de los estudiantes, sino con la satisfacción que muestran éstos frente a la enseñanza y a las estrategias utilizadas por el profesor","Satisfacción refers to El término de placer no está relacionado con el rendimiento académico de los estudiantes, sino con la satisfacción que muestran éstos frente a la enseñanza y a las estrategias utilizadas por el profesor.",oui,"Satisfacción refers to El término de placer no está relacionado con el rendimiento académico de los estudiantes, sino con la satisfacción que muestran éstos frente a la enseñanza y a las estrategias utilizadas por el profesor."
enseñanza de segunda lengua,keyword,,es,,,non,"Enseñanza de segunda lengua es un concepto utilizado en los campos de la lingüística, la traducción o la enseñanza."
accent perception,title,,fr,The role of prosody in foreign accent perception and intelligibility,Accent perception refers to The role of prosody in foreign accent perception and intelligibility.,oui,Accent perception refers to The role of prosody in foreign accent perception and intelligibility.
accent perception intelligibility,title,,fr,,,non,"Accent perception intelligibility est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement."
acquisition contrast,title,,fr,,,non,"Acquisition contrast est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement."
acquisition contrast l2,title,,fr,,,non,"Acquisition contrast l2 est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement."
acquisition english,title,,fr,,,non,"Acquisition english est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement."
acquisition english voice,title,,fr,,,non,"Acquisition english voice est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement."
acquisition l2,title,,fr,,,non,"Acquisition l2 est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement."
acquisition l2 pronunciation,title,,fr,,,non,"Acquisition l2 pronunciation est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement."
acquisition la,title,,fr,,,non,"Acquisition la est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement."
acquisition la prononciation,title,,fr,,,non,"Acquisition la prononciation est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement."
acquisition la pronunciation,title,,fr,,,non,"Acquisition la pronunciation est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement."
